Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,classe_real,classe_predita,prob_Benign,prob_Malicious
11.4,6,65.68,3012.154029559197,0.0,0.0,0.0,0.02,0.52,0.0,0.0,52,0,0,0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.52,0.02,0.0,0.0,0.0,0.0,1.0,1.0,95615,60,2962,956.15,646.2813499810541,956.15,0.0003319978713989,100,417679.58333333366,Malicious,Malicious,0.0,1.0
26.8,6,107.7,83.18565676999663,0.0,0.1,0.1,0.2,0.6,0.0,0.0,6,1,0,1,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1429,60,595,142.9,163.25062531784272,142.9,0.0120620012283325,10,26650.76666666667,Benign,Benign,0.98773592710495,0.012264049611985683
14.8,6,105.8,67.67506062723167,0.1,0.0,0.0,0.3,0.4,0.0,0.0,4,0,1,0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.0,0.0,0.8,0.8,1659,60,357,165.9,111.30483667238664,165.9,0.0168427944183349,10,12388.766666666666,Benign,Benign,0.7951635718345642,0.2048364132642746
10.48,6,63.77,2508.4049997009747,0.0,0.01,0.0,0.01,0.51,0.0,0.0,51,1,0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.0,1.0,91403,60,1514,914.03,581.0130903965255,914.03,0.000398678779602,100,337576.2112121211,Malicious,Malicious,0.0,1.0
10.0,6,63.36,675.6212478274247,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.01,0.0,0.0,0.99,0.99,94086,60,1514,940.86,576.873934025083,940.86,0.001491949558258,100,332783.5357575758,Malicious,Malicious,0.0,1.0
25.6,6,100.6,225.16972400723668,0.0,0.1,0.0,0.1,0.6,0.0,0.0,6,1,0,0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,8255,66,2962,825.5,997.684346652565,825.5,0.0044413089752197,10,995374.0555555556,Benign,Benign,0.9999631643295288,3.685484625748359e-05
21.2,6,56.1,217.2032831879029,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5488,60,1214,548.8,578.1581482989274,548.8,0.0046734809875488,10,334266.84444444446,Benign,Benign,0.9496902227401733,0.050309788435697556
10.0,6,64.0,2523.0717405166088,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,94400,374,1514,944.0,572.8715546977509,944.0,0.0003963422775268,100,328181.8181818182,Malicious,Malicious,0.0,1.0
20.8,6,62.1,179.54684189122665,0.0,0.1,0.0,0.2,0.5,0.0,0.0,5,1,0,0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,945,60,262,94.5,65.68147041255666,94.5,0.0061414957046508,10,4314.055555555556,Benign,Benign,0.9996432065963745,0.00035679241409525275
10.64,6,72.7,270.10953004090635,0.01,0.02,0.0,0.03,0.45,0.0,0.0,45,2,1,0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.47,0.08,0.02,0.03,0.0,0.0,0.97,0.97,78475,60,1514,784.75,606.3134065561284,784.75,0.0038707399368286,100,367615.94696969696,Malicious,Malicious,0.0,1.0
